time,lat,long,mag,deep,location
2017/5/3 12:47,39.42,71.58,6.2,30,塔吉克斯坦
2017/5/3 13:53,42.11,87.84,3,15,新疆巴音郭楞州和硕县
2017/5/4 3:21,43.5,84.67,3,8,新疆伊犁州尼勒克县
2017/5/4 13:36,33.71,89.48,3.4,8,西藏那曲地区双湖县
2017/5/4 13:40,28.19,104.87,4.9,10,四川宜宾市珙县
2017/5/5 13:07,23.38,121.65,4,34,台湾台东县海域
2017/5/5 13:09,39.45,71.5,6,20,塔吉克斯坦
2017/5/6 19:24,32.92,97.18,3.1,11,青海玉树州玉树市
2017/5/7 21:35,32.96,89.45,3.6,7,西藏那曲地区双湖县
2017/5/8 3:04,42.17,84.92,3.1,24,新疆巴音郭楞州轮台县
2017/5/8 17:18,32.6,97.45,3.3,9,青海玉树州玉树市
2017/5/8 23:31,51.1,-177.08,5.6,20,阿留申群岛
2017/5/8 23:47,51.12,-177.1,5.8,20,阿留申群岛
2017/5/9 1:00,51.81,-178.53,6.2,20,阿留申群岛
2017/5/9 9:54,24.47,126.29,6,20,琉球群岛
2017/5/9 21:52,-14.57,167.35,6.9,140,瓦努阿图群岛
2017/5/11 5:58,37.58,75.25,5.5,8,新疆喀什地区塔什库尔干县
2017/5/11 6:00,37.62,75.27,4.5,5,新疆喀什地区塔什库尔干县
2017/5/11 6:29,37.63,75.26,3,7,新疆喀什地区塔什库尔干县
2017/5/11 7:23,-56.3,-26.05,6.4,10,南桑威奇群岛地区
2017/5/11 7:38,39.08,74.34,3,5,新疆克孜勒苏州阿克陶县
2017/5/11 7:53,37.58,75.3,3.1,8,新疆喀什地区塔什库尔干县
2017/5/11 12:03,37.59,75.31,4.2,6,新疆喀什地区塔什库尔干县
2017/5/12 18:41,12.92,-90.01,6.2,10,中美洲沿岸远海
2017/5/12 22:18,50.11,122.04,3.7,20,内蒙古呼伦贝尔市鄂伦春旗
2017/5/13 19:50,32.88,104.19,3.1,12,四川绵阳市平武县
2017/5/14 2:01,37.86,57.31,5.9,15,伊朗
